year,month,service,departure_station,arrival_station,journey_time_avg,total_num_trips,num_of_canceled_trains,num_late_at_departure,avg_delay_late_at_departure,avg_delay_all_departing,num_arriving_late,avg_delay_late_on_arrival,avg_delay_all_arriving,delay_cause_external_cause,delay_cause_rail_infrastructure,delay_cause_traffic_management,delay_cause_rolling_stock,delay_cause_station_management,delay_cause_travelers,num_greater_15_min_late,avg_delay_late_greater_15_min,num_greater_30_min_late,num_greater_60_min_late,departure_region,arrival_region,pct_cancelled
2017,9,National,PARIS MONTPARNASSE,POITIERS,94.1115789474,479,4,35,13.0576190476,0.911473684211,49.0,22.3319727891,3.70350877193,0.153846153846,0.384615384615,0.102564102564,0.307692307692,0.025641025641,0.025641025641,25.0,35.48,9.0,4.0,IDF,NAq,0.008350730688935281
2017,9,National,POITIERS,PARIS MONTPARNASSE,93.6931818182,442,2,72,12.7581018519,2.68045454545,90.0,16.9022222222,4.59420454545,0.202898550725,0.376811594203,0.231884057971,0.144927536232,0.0289855072464,0.0144927536232,37.0,26.4036036036,8.0,1.0,NAq,IDF,0.004524886877828055
2017,9,National,PARIS MONTPARNASSE,RENNES,98.5328836425,597,4,49,17.4928571429,1.55309162451,100.0,20.88,4.34401349073,0.20253164557,0.278481012658,0.215189873418,0.26582278481,0.0253164556962,0.0126582278481,40.0,37.675,14.0,5.0,IDF,B,0.006700167504187605
2017,9,National,VANNES,PARIS MONTPARNASSE,156.027027027,259,0,21,16.0476190476,2.15444015444,49.0,23.5391156463,6.74118404118,0.15,0.425,0.25,0.125,0.0,0.05,29.0,31.4408045977,7.0,3.0,B,IDF,0.0
2017,9,National,LILLE,MARSEILLE ST CHARLES,300.282758621,146,1,16,14.6302083333,1.94701149425,45.0,25.6681481481,10.3950574713,0.243243243243,0.324324324324,0.162162162162,0.189189189189,0.0,0.0810810810811,45.0,25.6681481481,12.0,1.0,HDF,PACA,0.00684931506849315
2017,9,International,PARIS EST,FRANCFORT,128.124183007,153,0,25,14.5553333333,2.60740740741,17.0,27.1823529412,3.04248366013,0.0909090909091,0.363636363636,0.181818181818,0.181818181818,0.181818181818,0.0,14.0,30.0785714286,6.0,0.0,IDF,ALLEMAGNE,0.0
2017,9,International,PARIS LYON,LAUSANNE,219.950952381,141,1,13,22.341025641,2.00273809524,21.0,32.5150793651,6.2880952381,0.0952380952381,0.190476190476,0.285714285714,0.380952380952,0.0,0.047619047619,19.0,34.9377192982,6.0,2.0,IDF,SUISSE,0.0070921985815602835
2017,1,National,ANGERS SAINT LAUD,PARIS MONTPARNASSE,96.6177777778,467,17,35,15.5580952381,1.98418518519,37.0,27.8918918919,3.48907407407,0.294117647059,0.294117647059,0.147058823529,0.117647058824,0.0,0.147058823529,27.0,33.7512345679,13.0,3.0,PDLL,IDF,0.03640256959314775
2017,1,National,DOUAI,PARIS NORD,79.475,205,5,9,13.1351851852,1.09625,45.0,14.5159259259,3.57166666667,0.258064516129,0.193548387097,0.387096774194,0.0967741935484,0.0645161290323,0.0,13.0,30.1487179487,5.0,1.0,HDF,IDF,0.024390243902439025
2017,1,National,LYON PART DIEU,LILLE,186.775510204,299,5,148,17.4161036036,9.61507936508,92.0,30.1836956522,10.9306689342,0.225,0.2125,0.225,0.2125,0.0875,0.0375,73.0,34.8123287671,22.0,7.0,IDF,HDF,0.016722408026755852
